Country,Year,Divorce_Rate
Albania,1990,5.59
Albania,1991,5.53
Albania,1992,5.47
Albania,1993,5.42
Albania,1994,5.43
Albania,1995,5.45
Albania,1996,5.5
Albania,1997,5.84
Albania,1998,5.58
Albania,1999,5.61
Albania,2000,5.62
Albania,2001,5.63
Albania,2002,5.69
Albania,2003,5.78
Albania,2004,5.78
Albania,2005,5.76
Albania,2006,5.72
Albania,2007,5.61
Albania,2008,5.58
Albania,2009,5.72
Albania,2010,6.06
Albania,2011,6.36
Albania,2012,6.73
Albania,2013,7.02
Albania,2014,7.24
Albania,2015,7.25
Albania,2016,7.29
Albania,2017,7.37
Albania,2018,7.38
Albania,2019,7.47
Albania,2020,9.08
Albania,2021,10.26
Albania,2022,8.71
Albania,2023,8.33
Andorra,1990,5.26
Andorra,1991,5.15
Andorra,1992,5.05
Andorra,1993,5.24
Andorra,1994,5.48
Andorra,1995,5.33
Andorra,1996,5.47
Andorra,1997,5.71
Andorra,1998,5.91
Andorra,1999,6.06
Andorra,2000,6.23
Andorra,2001,6.29
Andorra,2002,6.49
Andorra,2003,6.37
Andorra,2004,6.29
Andorra,2005,6.08
Andorra,2006,5.84
Andorra,2007,5.87
Andorra,2008,5.88
Andorra,2009,5.98
Andorra,2010,6.27
Andorra,2011,5.95
Andorra,2012,6
Andorra,2013,5.93
Andorra,2014,5.81
Andorra,2015,5.67
Andorra,2016,5.41
Andorra,2017,5.44
Andorra,2018,5.48
Andorra,2019,5.56
Andorra,2020,8.29
Andorra,2021,6.98
Andorra,2022,5.95
Andorra,2023,6.08
Argentina,1990,7.83
Argentina,1991,7.62
Argentina,1992,7.68
Argentina,1993,7.69
Argentina,1994,7.49
Argentina,1995,7.56
Argentina,1996,7.52
Argentina,1997,7.41
Argentina,1998,7.61
Argentina,1999,7.58
Argentina,2000,7.57
Argentina,2001,7.5
Argentina,2002,7.53
Argentina,2003,7.74
Argentina,2004,7.53
Argentina,2005,7.39
Argentina,2006,7.45
Argentina,2007,7.9
Argentina,2008,7.52
Argentina,2009,7.48
Argentina,2010,7.63
Argentina,2011,7.42
Argentina,2012,7.72
Argentina,2013,7.78
Argentina,2014,7.55
Argentina,2015,7.45
Argentina,2016,7.87
Argentina,2017,7.68
Argentina,2018,7.58
Argentina,2019,7.68
Argentina,2020,8.45
Argentina,2021,9.73
Argentina,2022,8.8
Argentina,2023,7.67
Armenia,1990,7.72
Armenia,1991,7.71
Armenia,1992,7.9
Armenia,1993,7.93
Armenia,1994,7.98
Armenia,1995,8.01
Armenia,1996,8.06
Armenia,1997,8.08
Armenia,1998,8.13
Armenia,1999,8.14
Armenia,2000,8.2
Armenia,2001,8.28
Armenia,2002,8.38
Armenia,2003,8.54
Armenia,2004,8.71
Armenia,2005,8.9
Armenia,2006,9.09
Armenia,2007,9.28
Armenia,2008,9.45
Armenia,2009,9.59
Armenia,2010,9.7
Armenia,2011,9.77
Armenia,2012,9.8
Armenia,2013,9.81
Armenia,2014,9.81
Armenia,2015,9.81
Armenia,2016,9.79
Armenia,2017,9.78
Armenia,2018,9.77
Armenia,2019,9.79
Armenia,2020,14.21
Armenia,2021,13.26
Armenia,2022,10.26
Armenia,2023,9.37
Australia,1990,6.95
Australia,1991,6.84
Australia,1992,7
Australia,1993,6.82
Australia,1994,7.1
Australia,1995,6.93
Australia,1996,7.01
Australia,1997,6.96
Australia,1998,6.82
Australia,1999,6.8
Australia,2000,6.75
Australia,2001,6.68
Australia,2002,6.84
Australia,2003,6.7
Australia,2004,6.65
Australia,2005,6.53
Australia,2006,6.58
Australia,2007,6.71
Australia,2008,6.71
Australia,2009,6.54
Australia,2010,6.49
Australia,2011,6.56
Australia,2012,6.57
Australia,2013,6.43
Australia,2014,6.58
Australia,2015,6.61
Australia,2016,6.57
Australia,2017,6.69
Australia,2018,6.4
Australia,2019,6.52
Australia,2020,6.37
Australia,2021,6.61
