"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(3.0.1)","USA.CPI._T.IX.A","OBS_VALUE","United States","Consumer price index (CPI)","All Items","103.156841568622","105.2915045328674","106.833848874866","108.5669321189636","108.6957219606935","110.0670089342698","112.4115573023076","115.1573032247906","117.2441954762282","118.6905015771978","124.2664138258379","134.2112061684602","139.7357935632595","143.8573360146079"
"IMF.STA:CPI(3.0.1)","GBR.CPI._T.IX.A","OBS_VALUE","United Kingdom","Consumer price index (CPI)","All Items","93.59166666666668","96.0","98.2","99.625","99.99166666666665","101.0","103.5833333333333","105.9583333333333","107.8","108.8666666666667","111.6083333333334","120.45","128.6333333333333","132.8416666666667"
"IMF.STA:CPI(3.0.1)","AUT.CPI._T.IX.A","OBS_VALUE","Austria","Consumer price index (CPI)","All Items","86.295485","88.44051083333332","90.20945916666665","91.65805333333331","92.47982583333335","93.30436833333334","95.24628333333332","97.14966583333332","98.63692583333332","100.0","102.7666666666667","111.55","120.2666666666666","123.8"
"IMF.STA:CPI(3.0.1)","BEL.CPI._T.IX.A","OBS_VALUE","Belgium","Consumer price index (CPI)","All Items","96.1675","98.89833333333333","99.99916666666668","100.3391666666667","100.9025","102.8941666666667","105.0816666666667","107.2391666666667","108.78","109.5858333333333","112.26","123.0341666666667","128.0158333333334","132.04"
"IMF.STA:CPI(3.0.1)","FRA.CPI._T.IX.A","OBS_VALUE","France","Consumer price index (CPI)","All Items","96.715","98.60499999999998","99.45666666666668","99.96166666666667","99.99916666666668","100.1825","101.2166666666666","103.09","104.2325","104.7291666666666","106.4491666666666","112.0083333333334","117.4725","119.8208333333334"
"IMF.STA:CPI(3.0.1)","DNK.CPI._T.IX.A","OBS_VALUE","Denmark","Consumer price index (CPI)","All Items","95.91666666666664","98.21666666666668","98.99166666666667","99.55","99.99999999999999","100.25","101.4","102.225","103.0","103.4333333333334","105.35","113.4583333333334","117.2083333333334","118.8166666666666"
"IMF.STA:CPI(3.0.1)","DEU.CPI._T.IX.A","OBS_VALUE","Germany","Consumer price index (CPI)","All Items","90.31732166666669","92.131335","93.51765666666668","94.36566916666668","94.85111083333335","95.31753833333332","96.75635166666665","98.432335","99.85533166666669","100.0","103.0666666666667","110.15","116.7","119.3333333333333"
"IMF.STA:CPI(3.0.1)","ITA.CPI._T.IX.A","OBS_VALUE","Italy","Consumer price index (CPI)","All Items","95.58139500000001","98.4883725","99.68992416666666","99.93022416666668","99.96898749999998","99.87500000000001","101.1","102.25","102.875","102.7333333333334","104.6583333333333","113.2416666666666","119.6083333333334","120.7833333333334"
"IMF.STA:CPI(3.0.1)","LUX.CPI._T.IX.A","OBS_VALUE","Luxembourg","Consumer price index (CPI)","All Items","94.69833333333332","97.22000000000001","98.90583333333332","99.5275","100.0","100.2908333333333","102.0266666666666","103.5858333333333","105.3916666666667","106.2558333333334","108.9408333333334","115.8433333333333","120.1775","122.6425"
"IMF.STA:CPI(3.0.1)","NLD.CPI._T.IX.A","OBS_VALUE","Netherlands, The","Consumer price index (CPI)","All Items","93.73333333333332","96.035","98.4425","99.40333333333335","100.0","100.3166666666667","101.7025","103.435","106.1591666666667","107.51","110.3866666666667","121.4266666666667","126.0875","130.3083333333333"
"IMF.STA:CPI(3.0.1)","NOR.CPI._T.IX.A","OBS_VALUE","Norway","Consumer price index (CPI)","All Items","93.27499999999998","93.92500000000003","95.91666666666669","97.875","100.0","103.55","105.4916666666667","108.4083333333333","110.7583333333333","112.1833333333333","116.0916666666667","122.7833333333334","129.5583333333334","133.6333333333333"
"IMF.STA:CPI(3.0.1)","SWE.CPI._T.IX.A","OBS_VALUE","Sweden","Consumer price index (CPI)","All Items","311.4291666666668","314.1958333333332","314.0566666666668","313.4925","313.3458333333332","316.43","322.1083333333332","328.4008333333332","334.26","335.9225","343.1891666666668","371.9116666666668","403.705","415.1533333333332"
"IMF.STA:CPI(3.0.1)","CHE.CPI._T.IX.A","OBS_VALUE","Switzerland","Consumer price index (CPI)","All Items","101.8527583333334","101.147375","100.9275583333333","100.9142333333334","99.75986666666668","99.32629166666668","99.85648333333334","100.791475","101.1572333333333","100.4229583333333","101.0072333333333","103.8708166666667","106.088875","107.2159"
"IMF.STA:CPI(3.0.1)","CAN.CPI._T.IX.A","OBS_VALUE","Canada","Consumer price index (CPI)","All Items","119.8583333333333","121.675","122.8166666666667","125.1583333333333","126.5666666666666","128.375","130.425","133.3833333333334","135.9833333333334","136.9583333333333","141.6083333333333","151.2416666666666","157.1083333333334","160.85"
"IMF.STA:CPI(3.0.1)","JPN.CPI._T.IX.A","OBS_VALUE","Japan","Consumer price index (CPI)","All Items","94.55833333333332","94.51666666666668","94.83333333333331","97.45","98.225","98.09999999999998","98.575","99.55","100.0166666666667","99.99166666666667","99.75833333333333","102.25","105.5916666666666","108.4833333333334"
"IMF.STA:CPI(3.0.1)","FIN.CPI._T.IX.A","OBS_VALUE","Finland","Consumer price index (CPI)","All Items","95.05660833333332","97.7261175","99.17078916666668","100.2033516666667","99.99500000000002","100.3516666666667","101.1083333333333","102.2041666666667","103.2508333333333","103.5508333333333","105.8233333333334","113.3616666666666","120.4475","122.3333333333333"
"IMF.STA:CPI(3.0.1)","GRC.CPI._T.IX.A","OBS_VALUE","Greece","Consumer price index (CPI)","All Items","102.6349091666666","104.176","103.2162583333333","101.8617916666667","100.093585","99.26715833333336","100.3801958333333","101.0081958333333","101.2637541666667","99.9999991666667","101.2238241666667","110.987125","114.8326083333333","117.9807333333333"
"IMF.STA:CPI(3.0.1)","ISL.CPI._T.IX.A","OBS_VALUE","Iceland","Consumer price index (CPI)","All Items","133.7861666666667","140.7241833333333","146.1734166666667","149.1621","151.598","154.1705083333334","156.88455","161.0936333333333","165.94895","170.67505","178.2602583333333","193.0714666666667","209.938775","222.23455"
"IMF.STA:CPI(3.0.1)","IRL.CPI._T.IX.A","OBS_VALUE","Ireland","Consumer price index (CPI)","All Items","81.13333333333333","82.50833333333333","82.93333333333335","83.09166666666668","82.81666666666668","82.83333333333331","83.13333333333335","83.525","84.30833333333335","84.03333333333332","86.0","92.73333333333332","98.57499999999997","100.6583333333334"
"IMF.STA:CPI(3.0.1)","MLT.CPI._T.IX.A","OBS_VALUE","Malta","Consumer price index (CPI)","All Items","93.17053121411509","95.38409586696282","96.5098994359043","96.80937590014997","97.87480980580432","98.5038539210533","99.84779566648238","101.0038570332665","102.662400985934","103.3179465699355","104.8655380114688","111.3187075787838","116.9892464642188",""
"IMF.STA:CPI(3.0.1)","PRT.CPI._T.IX.A","OBS_VALUE","Portugal","Consumer price index (CPI)","All Items","97.3015","100.0","100.2744166666667","99.99549999999998","100.4834166666667","101.09375","102.4773333333333","103.4956666666667","103.8456666666666","103.83275","105.1469166666666","113.38275","118.271","121.1285833333333"
