Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank non-performing loans to gross loans (%),GFDD.SI.02,East Asia & Pacific (IDA total),DEA,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Europe & Central Asia (IDA total),DEC,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Latin America & Caribbean (IDA total),DLA,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Middle East & North Africa (IDA total),DMN,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Small island developing states: UN classification,SID,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,South Asia (IDA total),DSA,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Sub-Saharan Africa (IDA total),DSS,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Albania,ALB,..,..,22.493897,23.492778,22.802734,18.168574,18.269952,13.232533,11.084582,8.368958,8.1138999,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Algeria,DZA,..,..,11.726381,10.563971,9.9349605,9.7673454,12.089159,12.958502,12.697401,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Argentina,ARG,..,16,1.7345487,1.7325824,1.9900644,1.7368418,1.8366055,1.8303637,3.1085722,5.7484931,3.8612578,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Armenia,ARM,..,17.5,3.6692222,4.4853389,6.9697504,7.9497167,6.7241113,5.4323178,4.7543983,5.5066658,6.5548157,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Australia,AUS,..,0.5,1.7018915,1.3651749,1.0138445,0.8887255,0.94767635,0.85701375,0.90185519,0.96149316,1.1077827,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Austria,AUT,..,2.4000001,2.8133648,2.8665417,3.4733743,3.3928373,2.6952174,2.3688954,1.8824286,1.6286214,1.576781,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Azerbaijan,AZE,..,..,5.6799998,4.4899998,4.3800001,5.25,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Bahrain,BHR,..,..,5.8374729,5.5958228,4.6209617,4.4071999,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Bangladesh,BGD,..,34.900002,9.7280756,8.6418517,9.3651694,8.3979043,8.8585256,8.8956601,9.8873297,8.9021334,7.7375487,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Belarus,BLR,..,10.8,5.501874,4.4473314,4.371304,6.834948,12.791174,12.852194,5.0102862,4.6278781,4.8292427,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Belgium,BEL,..,2.8,3.7382545,4.2449774,4.1756921,3.7893514,3.4320333,2.9247935,2.2682657,2.0870692,2.0699581,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Benin,BEN,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Bhutan,BTN,..,..,5.4368227,6.9524983,6.7521584,6.5941684,7.1867458,8.4173084,7.0280449,8.446604,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Bolivia,BOL,..,10.3,1.5,1.5,1.5,1.6,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Bosnia and Herzegovina,BIH,..,9.8999996,13.465688,15.119848,14.165312,13.708416,11.777719,10.046275,8.7703355,7.4116571,6.1224022,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Botswana,BWA,..,1.7,2.6206081,3.6134301,3.5494549,3.7343552,4.8526413,5.276903,5.4263192,4.7879742,4.3234394,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Brazil,BRA,..,8.3000002,3.4468234,2.8572823,2.8548,3.311788,3.9166391,3.585719,3.0530583,3.1106361,2.2427001,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Brunei Darussalam,BRN,..,..,5.3761576,4.525302,3.8505942,3.9983518,4.7488988,3.6610092,4.6698507,3.8994987,3.872777,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Bulgaria,BGR,..,17.299999,16.626321,16.878521,16.746529,14.612051,13.173066,10.434453,7.8015618,6.6212994,5.798352,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Burundi,BDI,..,..,8.1682854,9.886952,10.822915,17.916697,21.056519,14.190085,12.696159,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Bank non-performing loans to gross loans (%),GFDD.SI.02,Cambodia,KHM,..,..,2.2246901,2.3026777,1.6213391,1.59274,2.1306306,2.0724775,1.9896209,1.5538399,1.8186254,..
