"No","Country","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015"
1,"Albania",43.18,40.18,39.45,40.07,39.18,37.07,37.59,38.16,36.04,35.3,36.04,33.67,32.64,31.72,30.89,29.58,28.53,27.12,26.91,26.1,25.41,25.52,25.68,25.78,26.21
2,"Algeria",34.96,36.14,38.16,38.88,37.64,37.68,37.18,38.28,36.11,34.2,33.58,31.9,29.62,27.76,24.93,24.44,24.21,24.07,25.9,25.89,27.37,26.94,25.98,25.74,23.98
3,"Angola",50.17,47.8,55.43,50.48,52.47,46.3,50.48,49.21,48.64,48.8,46.14,48.4,48.86,46.81,43.84,41.23,37.13,35.26,36.25,36.54,36.49,36.6,35.92,34.53,35.25
4,"Argentina",25.22,24.41,26.59,26.22,27.18,25.32,25.2,24,25.83,25.4,26.94,26.19,25.37,24.32,23.21,22.63,21.93,21.87,22.97,21.64,20.8,21.62,21.57,22.02,24.99
5,"Armenia",46.65,49.5,48.63,44.66,47.14,47.48,46.41,45.81,46.85,46.6,47.61,44.11,42.08,43.57,41.03,41.38,39.47,35.39,41.04,40.14,38.46,35.52,34.56,34.78,35.96
6,"Australia",15.69,16.63,16.15,15.18,14.42,14.55,13.72,13.29,13.4,13.1,12.5,12.43,12.08,12.11,12.25,11.66,9.32,8.96,9.39,9.14,8.87,9.83,9.95,8.89,8.1
7,"Austria",9.03,9.27,9.95,9.65,9.66,9.85,9.57,9.47,9.24,8.8,8.5,8.53,8.7,8.72,8.86,8.34,7.69,7.78,9.65,9.07,8.47,8.4,8.68,8.39,9.01
10,"Bahrain",22.49,21.83,19.65,19.8,19.64,19.72,19.18,19.37,18.84,18.4,18.76,18.67,18.35,17.64,17.54,18.12,18.79,18.16,20.33,20.3,21.01,21.11,20.03,19.21,16.63
11,"Bangladesh",36.34,36.48,37.12,36.71,35.27,35.7,35.78,35.87,35.6,35.6,34.48,35.12,36.65,36.5,34.95,34.13,32.93,31.32,31.47,30.78,28.79,28.97,28.22,27.42,27.6
12,"Belarus",52.78,47.83,47.95,49.54,53.57,52.24,51.11,49.32,50.14,48.1,49.39,49.73,48.64,46.72,46.77,44.64,42.1,38.69,39.7,38.17,33.03,32.29,34.07,34.12,32.37
13,"Belgium",22.1,22.07,23.31,23.49,23.19,23.41,22.19,22.92,21.63,19.9,19.78,20.93,21.65,21.12,21.11,20.74,18.27,18.28,18.74,18.8,17.71,18.28,18.81,18.06,17.8
14,"Belize",50.98,51.65,51.78,52.39,53.69,53.09,52.69,52.6,49.01,43.8,44.59,45.03,42.98,44.56,43.74,41.18,41.87,40.67,47.13,45.51,45.45,45.38,44.08,44.69,42.29
15,"Benin",58.78,60.8,58.66,56.88,54.86,52.65,53.47,51.49,51.24,50.2,50.34,49.72,53.24,55.49,56.38,55.79,52.75,53.52,56.63,54.49,55.12,53.64,50.71,46.33,48.28
16,"Bhutan",31.24,30.66,30.2,29.64,27.82,31,29.94,28.75,27.98,29.4,29.21,29.28,28.18,27.26,27.15,25.91,25.87,24.63,26.04,24.19,23.4,22.26,21.81,21.06,20.28
17,"Bolivia",68.09,71.34,71.08,70.39,69.4,66.78,67.31,63.69,68.67,67.1,70.57,68.82,69.01,66.74,65.64,61.77,59.97,54.65,58.4,55.06,51.82,49.64,48.18,46.93,45.98
18,"Bosnia and Herzegovina",31.38,32.18,33.43,43.3,44.45,38.53,36.66,33.25,32.87,34.1,33.99,37.34,35.94,33.57,32.72,33.48,33.11,30.97,33.13,33.18,32.6,32.59,31.38,31.19,29.88
19,"Botswana",33.57,35.44,36.37,35.89,35.52,35.2,32.98,34.18,32.95,33.4,33.05,32.08,31.43,30.57,30.12,27.85,26.52,27.06,28.46,26.44,25.03,24.44,22.85,22.1,23.99
20,"Brazil",40.64,39.67,39.25,38.25,39.61,40.83,40.5,41.69,40.79,39.8,38.65,38.5,38.89,37.29,38.47,37.62,37.05,35.16,36.9,34.55,33.06,32.71,32.56,33.01,35.22
21,"Brunei Darussalam",29.84,29.2,29.6,30.73,28.26,26.98,28.48,30.84,31.83,31.1,30.42,29.78,29.52,29.96,30.39,29.94,30.55,29.04,29.8,28.88,28.34,28.16,30,31.81,30.44
22,"Bulgaria",35.13,34.99,36.05,34.57,32.93,31.45,30.72,32.83,34.6,35.3,34.91,33.45,32.97,30.58,28.63,26.78,23.7,22.77,24.08,23.42,22.39,22.12,22.37,21.6,20.83
23,"Burkina Faso",43.42,44.06,44.89,44.75,43.59,43.91,41.76,41.26,38.81,41.4,41.2,41.22,39.34,38.69,37.25,36.21,38.3,36.4,35.64,33.29,32.06,31.12,31.12,30.53,29.63
24,"Burundi",26.87,28.78,31.52,32.17,34.62,39.84,38.61,37.99,38.88,39.5,39.36,39.05,40.02,39.75,38.08,35.96,38.89,38.23,37.95,38.64,37.86,37.04,36.93,36.25,35.68
25,"Cabo Verde",44.03,44.69,47.21,43.88,43.76,39.6,41.17,38.48,38.25,36.1,35.3,36.05,37.16,36.02,34.86,30.32,29.94,29.16,31.48,30.83,29.59,29.52,29.2,29.26,30.23
26,"Cambodia",44.12,45.4,54.06,56.69,54.55,55.11,53.95,53.24,51.95,50.1,49.8,49.35,49.66,46.74,43.69,40.92,41.76,41.02,42.88,42.31,40.3,38.08,36.56,34.92,33.85
27,"Cameroon",35.14,35.48,37.91,34.86,33,35.6,34.03,33.37,33.58,32.8,33.06,32.94,31.96,32.06,31.37,30.44,30.43,30.26,32.51,31.93,31.2,30.52,29.63,28.14,28.93
29,"Central African Republic",39.8,43.28,43.64,41.94,39.84,42.26,39.11,38.7,41.43,42.6,41.84,40.28,43.12,42.12,41.58,39.12,38.15,38.88,38.23,37.54,36.94,37.85,52.64,55.96,50.71
30,"Chad",45.92,45.75,48.86,46.23,46.18,46.31,46.04,44.36,46.6,46.2,45.23,40.32,42.04,35.03,34.26,35.01,36.35,37.11,37.11,34.11,35.14,33.9,34.3,31.2,28.76
31,"Chile",19.83,19.62,19.82,19.51,18.61,19.06,18.03,18.77,19.74,18.9,18.53,18.34,17.8,16.86,16.16,15.67,15.1,14.09,14.47,14.06,12.96,12.64,12.79,12.72,13.16
32,"China",17.47,17.03,16.86,16.43,15.86,16.07,16.07,16.13,16.52,16.5,16.33,15.82,15.12,14.31,14.14,13.84,13.82,12.79,12.83,12.13,12.03,12.41,12.25,11.74,12.11
33,"Colombia",35.69,34.53,34.95,35.41,35.24,37.3,36.19,37.46,38.98,39.1,37.26,37.97,35.87,35.3,33.98,31.79,30.89,29.82,31.24,30.71,27.6,27.34,26.77,25.99,25.25
34,"Comoros",39.97,35.79,35.89,40.15,39.87,41.56,40.77,43.22,42.93,39.6,39.11,39.31,37.86,38.78,37.92,37.45,38.08,39.21,40.02,39.05,38.63,38.61,36.63,36.44,40.92
36,"Congo, Rep.",50.4,50.74,52.82,52.08,49,47.53,51.09,52.86,52.17,48.2,48.41,48.24,47.33,46.31,44.52,41.81,45.64,43.27,40.65,36.4,36.43,37.13,36.28,33.18,35.05
37,"Costa Rica",28.63,26.72,26.47,26.71,26.72,26.95,26.18,23.82,23.99,23.9,25.7,25.09,24.11,24,23.06,22.12,22.2,21.3,24.33,24.6,24.72,23.76,23.81,23.41,19.24
38,"Côte d'Ivoire",46.29,48.39,48.25,44.53,41.05,38.88,42.53,40.37,41.53,43.2,43.64,43.68,46.49,45.62,44.55,43.84,44.39,43.94,42.81,42.15,43.63,43.47,41.06,38.94,42.4
39,"Croatia",30.7,32.85,34.93,35.91,37.33,35.64,32.64,34.22,34.6,32,30.91,29.06,27.13,26.1,24.96,23.8,22.5,21.56,25.27,25.6,24.64,25.26,25.28,24.48,22.96
41,"Czech Republic",18.42,17.77,18.18,18.22,16.81,16.05,16.7,16.31,17.15,16.8,15.8,16.75,17.08,15.75,14.46,13.14,11.53,11.18,13.52,12.97,11.68,11.5,11.79,10.76,10.47
42,"Denmark",17.08,17.03,18.06,16.69,16.15,16.5,15.17,15.54,15.16,14.6,14.23,14.77,14.94,14.55,13.75,12.66,12.51,13.01,16.33,16.17,15.26,15.48,15.24,14.13,14.7
